case_id	address	City	State	postalCode	Country
422	350 Ocean Drive	Kikala	CA	33139	Finland
423	350 Ocean Drive	Immola	CA	33139	Finland
424	350 Ocean Drive	Kitee	CA	33139	Finland
425	350 Ocean Drive	Ivalo	CA	33139	Finland
426	350 Ocean Drive	Joensuu	CA	33139	Finland
427	350 Ocean Drive	Jyvaskyla	CA	33139	Finland
428	350 Ocean Drive	Kauhava	CA	33139	Finland
429	350 Ocean Drive	Kemi	CA	33139	Finland
430	350 Ocean Drive	Kajaani	CA	33139	Finland
431	350 Ocean Drive	Kauhajoki	CA	33139	Finland
432	350 Ocean Drive	Kruunupyy	CA	33139	Finland
433	350 Ocean Drive	Kemijarvi	CA	33139	Finland
434	350 Ocean Drive	Kuusamo	CA	33139	Finland
435	350 Ocean Drive	Kittila	CA	33139	Finland
436	350 Ocean Drive	Kuopio	CA	33139	Finland
437	350 Ocean Drive	Vesivehmaa	CA	33139	Finland
438	350 Ocean Drive	Lappeenranta	CA	33139	Finland
439	350 Ocean Drive	Mariehamn	CA	33139	Finland
440	350 Ocean Drive	Menkijarvi	CA	33139	Finland
441	350 Ocean Drive	Mikkeli	CA	33139	Finland
442	350 Ocean Drive	Nummela	CA	33139	Finland
443	350 Ocean Drive	Oulu	CA	33139	Finland
444	350 Ocean Drive	Piikajarvi	CA	33139	Finland
445	350 Ocean Drive	Pori	CA	33139	Finland
446	350 Ocean Drive	Pudasjarvi	CA	33139	Finland
447	350 Ocean Drive	Pyhasalmi	CA	33139	Finland
448	350 Ocean Drive	Pattijoki	CA	33139	Finland
449	350 Ocean Drive	Rantasalmi	CA	33139	Finland
450	350 Ocean Drive	Rovaniemi	CA	33139	Finland
451	350 Ocean Drive	Rayskala	CA	33139	Finland
452	350 Ocean Drive	Savonlinna	CA	33139	Finland
453	350 Ocean Drive	Selanpaa	CA	33139	Finland
454	350 Ocean Drive	Sodankyla	CA	33139	Finland
455	350 Ocean Drive	Tampere	CA	33139	Finland
456	350 Ocean Drive	Teisko	CA	33139	Finland
457	350 Ocean Drive	Turku	CA	33139	Finland
458	350 Ocean Drive	Utti	CA	33139	Finland
459	350 Ocean Drive	Vaasa	CA	33139	Finland
460	350 Ocean Drive	Varkaus	CA	33139	Finland
461	350 Ocean Drive	Ylivieska-raudaskyla	CA	33139	Finland
462	350 Ocean Drive	Belfast	CA	33139	United Kingdom
463	350 Ocean Drive	Enniskillen	CA	33139	United Kingdom
464	160 East Flamingo Road	Belfast	CA	89109	United Kingdom
465	160 East Flamingo Road	Londonderry	CA	89109	United Kingdom
466	160 East Flamingo Road	Birmingham	CA	89109	United Kingdom
467	160 East Flamingo Road	Coventry	CA	89109	United Kingdom
468	160 East Flamingo Road	Leicester	CA	89109	United Kingdom
469	160 East Flamingo Road	Golouchestershire	CA	89109	United Kingdom
470	160 East Flamingo Road	Halfpenny Green	CA	89109	United Kingdom
471	160 East Flamingo Road	Pailton	CA	89109	United Kingdom
472	160 East Flamingo Road	Turweston	CA	89109	United Kingdom
473	160 East Flamingo Road	Wellesbourne	CA	89109	United Kingdom
474	160 East Flamingo Road	Manchester	CA	89109	United Kingdom
475	160 East Flamingo Road	Woodfort	CA	89109	United Kingdom
476	160 East Flamingo Road	Chivenor	CA	89109	United Kingdom
477	160 East Flamingo Road	Newquai	CA	89109	United Kingdom
478	160 East Flamingo Road	Lyneham	CA	89109	United Kingdom
479	160 East Flamingo Road	Boscombe Down	CA	89109	United Kingdom
480	160 East Flamingo Road	Culdrose	CA	89109	United Kingdom
481	160 East Flamingo Road	St. Athan	CA	89109	United Kingdom
482	160 East Flamingo Road	Yeovilton	CA	89109	United Kingdom
483	160 East Flamingo Road	Haverfordwest	CA	89109	United Kingdom
